"illumina_humanht_12_v3","ensembl_gene_id","gene_biotype","external_gene_name"
"ILMN_1757552","ENSG00000177469","protein_coding","CAVIN1"
"ILMN_1691291","ENSG00000087111","protein_coding","PIGS"
"ILMN_1788462","ENSG00000123505","polymorphic_pseudogene","AMD1"
"ILMN_1691291","ENSG00000109103","protein_coding","UNC119"
"ILMN_1783333","ENSG00000103121","protein_coding","CMC2"
"ILMN_1915098","ENSG00000253441","IG_V_pseudogene","IGHV3-25"
"ILMN_1780334","ENSG00000123700","protein_coding","KCNJ2"
"ILMN_1801584","ENSG00000121966","protein_coding","CXCR4"
"ILMN_1694888","ENSG00000064313","protein_coding","TAF2"
"ILMN_1790529","ENSG00000139329","protein_coding","LUM"
"ILMN_1798187","ENSG00000136504","protein_coding","KAT7"
"ILMN_1747184","ENSG00000129317","protein_coding","PUS7L"
"ILMN_1683179","ENSG00000166592","protein_coding","RRAD"
"ILMN_1813104","ENSG00000131386","protein_coding","GALNT15"
"ILMN_1697529","ENSG00000022840","protein_coding","RNF10"
"ILMN_1873092","ENSG00000170921","protein_coding","TANC2"
"ILMN_1822562","ENSG00000227036","lncRNA","LINC00511"
"ILMN_1660797","ENSG00000205879","unprocessed_pseudogene","FAM90A2P"
"ILMN_1716461","ENSG00000153902","protein_coding","LGI4"
"ILMN_1772329","ENSG00000093167","protein_coding","LRRFIP2"
"ILMN_1720048","ENSG00000108691","protein_coding","CCL2"
"ILMN_1766925","ENSG00000140945","protein_coding","CDH13"
"ILMN_1807925","ENSG00000186469","protein_coding","GNG2"
"ILMN_1718610","ENSG00000140750","protein_coding","ARHGAP17"
"ILMN_1684850","ENSG00000005249","protein_coding","PRKAR2B"
"ILMN_1682717","ENSG00000230128","protein_coding","IER3"
"ILMN_1698706","ENSG00000087303","protein_coding","NID2"
"ILMN_1813795","ENSG00000266094","protein_coding","RASSF5"
"ILMN_1665540","ENSG00000236438","transcribed_unprocessed_pseudogene","FAM157A"
"ILMN_1660797","ENSG00000251402","unprocessed_pseudogene","FAM90A25P"
"ILMN_1795762","ENSG00000115956","protein_coding","PLEK"
"ILMN_1844029","ENSG00000158258","protein_coding","CLSTN2"
"ILMN_1691508","ENSG00000011422","protein_coding","PLAUR"
"ILMN_1752968","ENSG00000172037","protein_coding","LAMB2"
"ILMN_1807759","ENSG00000256436","protein_coding","TAS2R31"
"ILMN_1665540","ENSG00000214837","transcribed_unprocessed_pseudogene","LINC01347"
"ILMN_1674402","ENSG00000165071","protein_coding","TMEM71"
"ILMN_1676924","ENSG00000198821","protein_coding","CD247"
"ILMN_1676893","ENSG00000138031","protein_coding","ADCY3"
"ILMN_1712461","ENSG00000102924","protein_coding","CBLN1"
"ILMN_1665859","ENSG00000069974","protein_coding","RAB27A"
"ILMN_1866460","ENSG00000144747","protein_coding","TMF1"
"ILMN_1665483","ENSG00000261208","processed_pseudogene","AL365475.1"
"ILMN_1782241","ENSG00000126464","protein_coding","PRR12"
"ILMN_1727194","ENSG00000128595","protein_coding","CALU"
"ILMN_1720829","ENSG00000128016","protein_coding","ZFP36"
"ILMN_1695744","ENSG00000274513","protein_coding","LILRB2"
"ILMN_1696214","ENSG00000187736","protein_coding","NHEJ1"
"ILMN_1696214","ENSG00000280537","protein_coding","AC068946.1"
"ILMN_1657836","ENSG00000090924","protein_coding","PLEKHG2"
